Date,Price,Open,High,Low,Vol.,Change %
29-Jun-80,670.5,658,671,645,1.50K,3.15%
22-Jun-80,650,604.5,650,596.5,1.79K,7.90%
15-Jun-80,602.4,595.8,609,590,2.58K,-0.40%
8-Jun-80,604.8,628,631,584,12.16K,-0.28%
1-Jun-80,606.5,567,607,550,9.35K,11.24%
25-May-80,545.2,518.3,552,513.5,22.62K,6.96%
18-May-80,509.7,513.3,514,495,0.34K,-0.60%
11-May-80,512.8,511.3,527,510,0.58K,0.00%
4-May-80,512.8,516,518,504,0.98K,0.25%
27-Apr-80,511.5,525,529,478,2.89K,-4.96%
20-Apr-80,538.2,500,562,485,3.43K,5.49%
13-Apr-80,510.2,528,535,490,4.92K,-3.97%
6-Apr-80,531.3,490,556,490,9.51K,9.07%
30-Mar-80,487.1,495,521,465,7.52K,-4.30%
23-Mar-80,509,559.3,569.5,453,31.61K,-9.64%
16-Mar-80,563.3,490,562,462,10.14K,7.09%
9-Mar-80,526,590.5,592,513.5,9.83K,-12.11%
2-Mar-80,598.5,631,648.5,597,1.52K,-5.15%
24-Feb-80,631,621,655.5,607.5,2.13K,2.60%
17-Feb-80,615,658,670,599,18.46K,-7.24%
10-Feb-80,663,720,729,656,4.27K,-4.54%
3-Feb-80,694.5,670,721,659,22.87K,1.64%
27-Jan-80,683.3,634,705,606,19.80K,7.78%
20-Jan-80,634,875,875,630,42.97K,-21.92%
13-Jan-80,812,672,850,650,76.38K,25.70%
6-Jan-80,646,629,651,592,11.19K,7.02%
30-Dec-79,603.6,527.88,640,527.88,30.67K,16.57%
23-Dec-79,517.8,495,517.8,495,-,6.32%
16-Dec-79,487,472,490,466,-,4.93%
9-Dec-79,464.1,439,485.5,430.5,-,8.94%
2-Dec-79,426,430.5,437.5,424,-,1.65%
25-Nov-79,419.1,396.5,421,390,-,6.21%
18-Nov-79,394.6,394.6,394.6,394.6,-,0.87%
11-Nov-79,391.2,391.2,391.2,391.2,-,0.00%
4-Nov-79,391.2,391.2,391.2,391.2,-,3.36%
28-Oct-79,378.5,378.5,378.5,378.5,-,0.21%
21-Oct-79,377.7,377.7,377.7,377.7,-,-5.57%
14-Oct-79,400,400,400,400,-,-0.99%
7-Oct-79,404,404,404,404,-,2.80%
30-Sep-79,393,393,393,393,-,-2.84%
23-Sep-79,404.5,404.5,404.5,404.5,-,5.28%
16-Sep-79,384.2,384.2,384.2,384.2,-,8.41%
9-Sep-79,354.4,354.4,354.4,354.4,-,2.34%
2-Sep-79,346.3,346.3,346.3,346.3,-,6.00%
26-Aug-79,326.7,326.7,326.7,326.7,-,1.87%
19-Aug-79,320.7,320.7,320.7,320.7,-,4.36%
12-Aug-79,307.3,307.3,307.3,307.3,-,-1.73%
5-Aug-79,312.7,312.7,312.7,312.7,-,5.71%
29-Jul-79,295.8,295.8,295.8,295.8,-,-6.78%
22-Jul-79,317.3,317.3,317.3,317.3,-,1.15%
15-Jul-79,313.7,313.7,313.7,313.7,-,4.08%
8-Jul-79,301.4,301.4,301.4,301.4,-,0.00%
1-Jul-79,301.4,301.4,301.4,301.4,-,2.69%
24-Jun-79,293.5,293.5,293.5,293.5,-,-0.34%
17-Jun-79,294.5,294.5,294.5,294.5,-,0.75%
10-Jun-79,292.3,292.3,292.3,292.3,-,-0.58%
3-Jun-79,294,294,294,294,-,2.69%
27-May-79,286.3,286.3,286.3,286.3,-,0.49%
20-May-79,284.9,284.9,284.9,284.9,-,3.83%
13-May-79,274.4,274.4,274.4,274.4,-,4.10%
6-May-79,263.6,263.6,263.6,263.6,-,-0.11%
29-Apr-79,263.9,263.9,263.9,263.9,-,0.84%
22-Apr-79,261.7,261.7,261.7,261.7,-,4.01%
15-Apr-79,251.6,251.6,251.6,251.6,-,1.53%
8-Apr-79,247.8,247.8,247.8,247.8,-,-3.54%
1-Apr-79,256.9,256.9,256.9,256.9,-,0.12%
25-Mar-79,256.6,256.6,256.6,256.6,-,-1.27%
18-Mar-79,259.9,259.9,259.9,259.9,-,-0.54%
11-Mar-79,261.3,261.3,261.3,261.3,-,0.89%
4-Mar-79,259,259,259,259,-,-0.65%
25-Feb-79,260.7,260.7,260.7,260.7,-,-5.10%
18-Feb-79,274.7,274.7,274.7,274.7,-,2.23%
11-Feb-79,268.7,268.7,268.7,268.7,-,1.43%
4-Feb-79,264.9,264.9,264.9,264.9,-,1.96%
28-Jan-79,259.8,259.8,259.8,259.8,-,0.62%
21-Jan-79,258.2,258.2,258.2,258.2,-,1.25%
14-Jan-79,255,255,255,255,-,6.21%
7-Jan-79,240.1,240.1,240.1,240.1,-,-2.36%
